Lookup ID,Isotope,,A1 (TBq),,A2 (TBq),,activity concentration limit for exempt matertial (Bq/g),,activity limit for an exempt consignment (Bq),
,Rh-101,,4.00E+00,,3.00E+00,,1.00E+02,,1.00E+07,
,Rh-102,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,Rh-102m,,2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Rh-103m,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+08,
,Rh-105,,1.00E+01,,8.00E-01,,1.00E+02,,1.00E+07,
,Rn-222,(a),3.00E-01,,4.00E-03,,1.00E+01,(b),1.00E+08,(b)
,Ru-97,,5.00E+00,,5.00E+00,,1.00E+02,,1.00E+07,
,Ru-103,(a),2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Ru-105,,1.00E+00,,6.00E-01,,1.00E+01,,1.00E+06,
,Ru-106,(a),2.00E-01,,2.00E-01,,1.00E+02,(b),1.00E+05,(b)
,S-35,,4.00E+01,,3.00E+00,,1.00E+05,,1.00E+08,
,Sb-122,,4.00E-01,,4.00E-01,,1.00E+02,,1.00E+04,
,Sb-124,,6.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Sb-125,,2.00E+00,,1.00E+00,,1.00E+02,,1.00E+06,
,Sb-126,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,Sc-44,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+05,
,Sc-46,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,Sc-47,,1.00E+01,,7.00E-01,,1.00E+02,,1.00E+06,
,Sc-48,,3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,Se-75,,3.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Se-79,,4.00E+01,,2.00E+00,,1.00E+04,,1.00E+07,
,Si-31,,6.00E-01,,6.00E-01,,1.00E+03,,1.00E+06,
,Si-32,,4.00E+01,,5.00E-01,,1.00E+03,,1.00E+06,
,Sm-145,,1.00E+01,,1.00E+01,,1.00E+02,,1.00E+07,
,Sm-147,,Unlimited,,Unlimited,,1.00E+01,,1.00E+04,
,Sm-151,,4.00E+01,,1.00E+01,,1.00E+04,,1.00E+08,
,Sm-153,,9.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,Sn-113,(a),4.00E+00,,2.00E+00,,1.00E+03,,1.00E+07,
,Sn-117m,,7.00E+00,,4.00E-01,,1.00E+02,,1.00E+06,
,Sn-119m,,4.00E+01,,3.00E+01,,1.00E+03,,1.00E+07,
,Sn-121m,(a),4.00E+01,,9.00E-01,,1.00E+03,,1.00E+07,
,Sn-123,,8.00E-01,,6.00E-01,,1.00E+03,,1.00E+06,
,Sn-125,,4.00E-01,,4.00E-01,,1.00E+02,,1.00E+05,
,Sn-126,(a),6.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,Sr-82,(a),2.00E-01,,2.00E-01,,1.00E+01,,1.40E+06,
,Sr-83,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Sr-85,,2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Sr-85m,,5.00E+00,,5.00E+00,,1.00E+02,,1.00E+07,
,Sr-87m,,3.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Sr-89,,6.00E-01,,6.00E-01,,1.00E+03,,1.00E+06,
,Sr-90,(a),3.00E-01,,3.00E-01,,1.00E+02,(b),1.00E+04,(b)
,Sr-91,(a),3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,Sr-92,(a),1.00E+00,,3.00E-01,,1.00E+01,,1.00E+06,
,H-3,,4.00E+01,,4.00E+01,,1.00E+06,,1.00E+09,
,Ta-178,(long lived),1.00E+00,,8.00E-01,,1.00E+01,,1.00E+06,
,Ta-179,,3.00E+01,,3.00E+01,,1.00E+03,,1.00E+08,
,Ta-182,,9.00E-01,,5.00E-01,,1.00E+01,,1.00E+04,
,Tb-149,,8.00E-01,,8.00E-01,,1.00E+01,,1.00E+06,
,Tb-157,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+07,
,Tb-158,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Tb-160,,1.00E+00,,6.00E-01,,1.00E+01,,1.00E+06,
,Tb-161,,3.00E+01,,7.00E-01,,1.00E+03,,1.00E+06,
,Tc-95m,(a),2.00E+00,,2.00E+00,,1.00E+01,,1.00E+06,
,Tc-96,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+06,
,Tc-96m,(a),4.00E-01,,4.00E-01,,1.00E+03,,1.00E+07,
,Tc-97,,Unlimited,,Unlimited,,1.00E+03,,1.00E+08,
,Tc-97m,,4.00E+01,,1.00E+00,,1.00E+03,,1.00E+07,
,Tc-98,,8.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,Tc-99,,4.00E+01,,9.00E-01,,1.00E+04,,1.00E+07,
,Tc-99m,,1.00E+01,,4.00E+00,,1.00E+02,,1.00E+07,
,Te-121,,2.00E+00,,2.00E+00,,1.00E+01,,1.00E+06,
,Te-121m,,5.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Te-123m,,8.00E+00,,1.00E+00,,1.00E+02,,1.00E+07,
,Te-125m,,2.00E+01,,9.00E-01,,1.00E+03,,1.00E+07,
,Te-127,,2.00E+01,,7.00E-01,,1.00E+03,,1.00E+06,
,Te-127m,(a),2.00E+01,,5.00E-01,,1.00E+03,,1.00E+07,
,Te-129,,7.00E-01,,6.00E-01,,1.00E+02,,1.00E+06,
,Te-129m,(a),8.00E-01,,4.00E-01,,1.00E+03,,1.00E+06,
